"Standort","Latitude","Longitude"
"Wasserverband Wulkatal",47.799901,16.517223
"AWV Bezirk Jennersdorf",46.967633,16.254749
"Kläranlage Eisenstadt",47.831138863,16.542244973
"Kläranlage RHV Neusiedlersee- Westufer",47.858889,16.647953
"Kläranlage Glasing",47.0474,16.365722
"Kläranlage Riedlingsdorf",47.344934,16.136608
"Kläranlage Oberpullendorf",47.48867,16.527964
"Abwasserverband Rotenturm",47.2537056370001,16.278431228
"Klagenfurt",46.606083418,14.333694339
"Villach",46.612214,13.877205
"Millstätter See/ Spittal",46.780344,13.51924
"Mittleres Lavanttal",46.737752,14.845659
"Kohldorf",46.639917718,14.6538139890001
"St. Veit/ Glan",46.740229,14.384301
"Rosegg",46.573213712,14.0240086640001
"Ossiachersee",46.7120909290001,14.0817052940001
"Hermagor (Abwasserverband Karnische Alpen)",46.6103217960001,13.491136909
"Ferlach",46.54241,14.304536
"Wasserverband Unteres Drautal",46.6716838670001,13.728960934
"Liechtenstein",47.214190194,9.5016388
"ARA AV An der Traisen",48.3631945330001,15.7644165580001
"ARA AWV Wr. Neustadt- Süd",47.833908,16.277043
"ARA Mödling",48.096022,16.329449
"ARA GAV Raum Krems an der Donau",48.399571,15.663752
"ARA AWV Schwechat",48.134712,16.542136
"Gemeindeverband Abwasserbeseitigung Raum Bad Vöslau",47.968512,16.243298
"ARA GAV Amstetten",48.109062,14.894352
"ARA Großraum Bruck an der Leitha- Neusiedl am See",48.031559,16.824629
"ARA Piestingtaler AV",47.897177,16.250682
"ARA Baden",47.9946701050001,16.264040735
"ARA AV Raum Korneuburg",48.330923,16.332069
"ARA AV Anzbach- Laabental",48.222991,15.92118
"ARA AV Lainsitz",48.795024,14.956944
"ARA Stockerau",48.384126,16.226988
"ARA Tulln",48.33397,16.072564
"ARA Hollabrunn",48.548934,16.072231
"ARA GAV Marchfeld",48.261229,16.653731
"ARA GV Horn für Abwasserbeseitigung",48.662143,15.665069
"ARA Mistelbach",48.570592,16.572478
"ARA Wiental- Sammelkanal GmbH",48.182616,16.124742
"ARA GAV Langenlois- Schönberg am Kamp",48.473207,15.677497
"ARA Waidhofen a. d. Ybbs",47.971313,14.760623
"ARA GAV Wieselburg",48.138085,15.154077
"ARA Gänserndorf",48.346988,16.735083
"ARA Abwasserreinigung im Waldviertel GmbH",48.820499,15.295653
"ARA Melk",48.235263,15.335283
"ARA GAV Kleines Erlauftal",48.077454,15.064197
"ARA Zwettl",48.612989,15.183992
"Obergurgl",46.8699375,11.0263236
"Welser Heide",48.1822223080001,14.137499888
"Steyr und Umgebung",48.0638889750001,14.432777667
"Trattnachtal",48.241089,13.967061
"Ager- West",48.01572,13.746119
"Ried und Umgebung",48.210066,13.488188
"Wolfgangsee- Ischl",47.7248896840001,13.6484159880001
"Braunau",48.265248,13.058339
"Eferding",48.324417,14.027952
"Mühltal",48.517874,14.033489
"Oberes Kremstal",48.006112,14.117478
"Freistadt und Umgebung",48.4944344090001,14.50650417
"Reinhaltungsverband Perg-Münzbach-Windhaag-Rechberg",48.232846,14.645603
"Aschachtal",48.355718,13.869683
"Schärding und Umgebung",48.463916,13.433774
"Bad Leonfeld",48.522744,14.292941
"Machland- Ost",48.199034,14.800132
"Aigen- Schlägl",48.63637,13.971886
"Stadtgemeinde Graz ARA Graz Gössendorf 1/316",46.99666,15.472048
"Abwasserverband Grazerfeld",46.879085,15.530078
"Hartberg",47.270833,15.979466
"Diemlach",47.430668,15.269701
"Leoben",47.387329,15.104878
"Forstviertel",47.135332,15.334579
"Wagna-Leibnitz",46.764978,15.567534
"Feldbach",46.953637,15.925993
"St. Marein/ Mi",47.469811,15.362561
"Köflach- Graz",47.062393,15.095942
"Weiz",47.206874,15.634065
"Strass",46.717951,15.624471
"Voitsberg",47.030062,15.185367
"Frauental",46.829132,15.270886
"Judenburg",47.170078,14.672695
"Liezen",47.557614,14.259321
"Sebersdorf",47.182436,16.000758
"Murau",47.076042,14.204807
"Fehring",46.9437688260001,16.017204437
"St.Ruprecht an der Raab",47.152843,15.662471
"Gnas",46.872538,15.826444
"Krottendorf-Pr",47.189783526,15.656598382
"Obdach",47.068444,14.695306
"Ardning",47.59117,14.363349
"Gde. St. Johann in der Haide ARA St. Johann i. d. H. 7/3393",47.279116,16.025674
"Hollenegg",46.761368,15.225123
"Abwasserverband Achental-Inntal-Zillertal",47.402619391,11.835360759
"Hofsteig",47.4859445220001,9.67652765800005
"Meiningen",47.3107877140001,9.58987118600004
"Dornbirn",47.43058,9.726533
"Hohenems",47.365555633,9.66305543600004
"Bregenz",47.5045260470001,9.70669547200004
"Ludesch",47.174596,9.771706
"Abwasserverband Montafon",47.1169013630001,9.85611117800005
"Siggerwiesen",47.862991,12.995678
"Kläranlage Pfarrwerfen",47.4386111950001,13.210861
"ARA Saalachtal- Saalfelden",47.4632166960001,12.826643527
"ARA Wallersee-Süd-Seekirchen",47.88459,13.12059
"ARA Tennengau Süd- Kuchl",47.654174126,13.122222999
"ARA Zentralraum Lungau",47.126214,13.810315
"ARA Trumerseen",47.981272,13.085984
